ca,de
"Quan va arribar a terra amb una barca salvavides, Newton va desembarcar a l´Estat de Kentucky.
","Als er in einem Rettungsboot auf die Erde kam, landete Newton zunächst in Kentucky.
"
"Quan entra a un poble mexicà mig adormit, atrau a diverses dones que ballen al seu voltant.
","Als er in einer verschlafenen mexikanischen Stadt ankommt, zieht er mehrere Frauen an, die um ihn herum tanzen.
"
"Mentre residia a Marsella va escriure una tesi sobre el pneumotòrax.
","Als er in Marseille wohnte, schrieb er eine wissenschaftliche Arbeit über Pneumothorax.
"
"Al seu any sènior, Kurt va ser considerat un possible candidat Heisman.
","Als er in sein letztes Jahr eintrat, wurde Kurt als möglicher Heisman-Kandidat in Betracht gezogen.
"
"Quan va arribar a la seva oficina, va trobar que Oppenheimer ja ho sabia.
","Als er in seinem Büro ankam, stellte er fest, dass Oppenheimer es bereits wusste.
"
"Quan el van matar a Sillery, en van tallar el cos a trossos.
","Als er in Sillery getötet wurde, wurde sein Körper in Stücke gehackt.
"
"Quan va deixar l'Índia, la fam aguaitava parts del camp.
","Als er Indien verließ, herrschte auf dem Land eine Hungersnot.
"
"Quan va llitar-se em vaig asseure i vaig acabar Scudder.
","Als er ins Bett ging, setzte ich mich auf und erledigte Scudder.
"
"Tanmateix, davant l’oportunitat demostra que no està disposat a matar el seu millor amic.
","Als er jedoch die Gelegenheit erhält, zeigt er sich nicht willens, seinen besten Freund zu töten.
"
"No obstant això, al lluitar contra la Cosa, va quedar inconscient.
","Als er jedoch gegen „The Thing“ kämpfte, wurde er bewusstlos geschlagen.
"
"De totes maneres, buscant la seva nau queda atrapat en un ‘time scoop’ de Dalek.
","Als er jedoch sein Schiff findet, ist er in einer Zeitschleife der Daleks gefangen.
"
"No obstant això, després d'assabentar-se de la mort d'en Kole, va quedar disgustar-se molt.
","Als er jedoch von Koles Tod erfahren hatte, war er darüber sehr bestürzt.
"
"Els seus pares van immigrar a Argentina quan ell era jove.
","Als er jung war, immigrierten seine Eltern nach Argentinien.
"
"Els seus pares es van divorciar quan era jove.
","Als er jung war, ließen sich seine Eltern scheiden.
"
"Quan era jove, Williamson va jugar de davanter centre al Coatham Grammar School.
","Als er jung war, spielte Williamson als Mittelstürmer für die Coatham Grammar School.
"
"Anys després, quan va tornar a veure Karla DeVito, Russell es va dirigir a ella com a La meva Evita.
","Als er Karla DeVito Jahre später wiedersah, sprach Russell sie als My Evita an.
"
"Malalt, va demanar permís per tornar a Xile.
","Als er krank wurde, bat er um Urlaub, um nach Chile zurückzukehren.
"
"Quan finalment es va jubilar, ho va fer obligat per una lesió.
","Als er letztendlich in den Ruhestand trat, musste er dies aufgrund einer Verletzung machen.
"
"El menjar encara era calent al plat quan va tornar de revisar les finestres i les portes.
","Als er nach dem Prüfen der Fenster und Türen zurück kam, war das Essen auf der Herdplatte immer noch warm.
"
"Quan li van preguntar per les xarxes socials, Schmidt va dir que percebia Internet com una «amenaça».
","Als er nach den sozialen Medien gefragt wurde, sagte Schmidt, er nehme das Internet als „bedrohlich“ wahr.
"
"Quan va sortir fora, ell es va trobar a quatre nois rics d’una fraternitat cremant viu a un home sense llar.
","Als er nach draußen geht, trifft er auf vier reiche Verbindungsstudenten, die einen Obdachlosen lebendig verbrennen.
"
"En arribar a casa, els seus col·legues li van preguntar on havia anat.
","Als er nach Hause ging, fragten ihn seine Leute, wohin er aufbrach.
"
"Quan va retornar a Mèxic, va continuar pintant murals.
","Als er nach Mexiko zurückkehrte, malte er weiter Wandbilder.
"
"Quan va tornar al Nord d'Àfrica va traslladar-se a Alexandria.
","Als er nach Nordafrika zurückkehrte, zog er nach Alexandria.
"
"Quan va tornar després de sis anys, Mumbi va tenir el fill del seu rival.
","Als er nach sechs Jahren zurückkehrt, hatte Mumbi ein Kind von seinem Rivalen.
"
"La seva família es va traslladar a Belton (Missouri), quan era un nen petit.
","Als er noch klein war, zog seine Familie nach Belton, Missouri.
"
"Mentre fa les maletes, recorda els llibres i va a casa de Funes.
","Als er packt, erinnert er sich an die Bücher und geht zum Haus von Funes.
"
"Quan va xiular tots els palaus de Vladimir van quedar destruïts i hi va haver molts morts.
","Als er pfiff, wurden alle von Vladimirs Palästen zerstört und viele starben.
"
"Li va iniciar dos megaprojectes quan va ser primer ministre.
","Als er Premierminister war, startete Li zwei Megaprojekte.
"
"En veure que Solie estava ferit, Piper va descarregar la seva fúria escocesa contra Muraco.
","Als er sah, dass Solie verletzt war, ließ Piper seiner schottischen Wut freien Lauf gegen Muraco.
"
"Mentre suava, el seu visor s’entelava.
","Als er schwitzte, begann sein Visier zu beschlagen.
"
"Quan tenia setze anys, la seva família es va establir a Princeton, al comtat de Bureau, Illinois.
","Als er sechzehn war, ließ sich seine Familie in Princeton, Bureau County, Illinois, nieder.
"
"Quan es retroba amb els seus pares, descobreix que la seva mare està embarassada.
","Als er seine Eltern wiedersieht, erfährt er, dass seine Mutter schwanger ist.
"
"Quan se separa dels seus companys, els gots el fan pres.
","Als er seine Kollegen verlässt, nehmen die Goten ihn gefangen.
"
"Quan es treu el turbant, es veu que és completament calb.
","Als er seinen Turban abnimmt, sieht man, dass er völlig kahl ist.
"
"En Phil fa un crit en recordar-ho.
","Als er sich daran erinnert, stößt Phil einen Schrei aus.
"
"Quan estava a prop de fer seixanta anys, dos dels nebots de Morgan es van unir a l'empresa.
","Als er sich dem sechzigsten Lebensjahr näherte, traten zwei von Morgans Neffen in die Firma ein.
"
"Quan es va girar cap a la porta, va notar la nostra presència.
","Als er sich der Tür zuwandte, erblickte er uns nun.
"
"Un cop decidit el concepte, va anar a uns quants tallers amb els dibuixos.
","Als er sich erst einmal für das Konzept entschieden hatte, trat er mit seinen Zeichnungen an einige Maschinenwerkstätten heran.
"
"En adonar-se de la seva situació, Decatur va lliurar el ""President"" de nou, just abans de la mitjanit.
","Als er sich seiner Situation bewusst wurde, gab Decatur den ""Präsidenten"" kurz vor Mitternacht wieder ab.
"
"Va aconseguir sortir de la casa i va sospirar alleugerit.
","Als er sich selbst aus dem Haus ließ, atmete er erleichtert auf.
"
"Quan va dir “ell mateix” crec que es referia a nosaltres.
","Als er sich selbst sagte, meinte er wohl uns.
"
"En girar-se, descobreix un home amb els ulls ardents que s'atansa sobre ell.
","Als er sich umdreht, entdeckt er einen Mann, der ihn mit brennenden Augen drohend ansieht.
"
"Mirant al voltant va buscar les seves ovelles, i llavors es va adonar que estava en un món nou.
","Als er sich umsah, suchte er seine Schafe und erkannte dann, dass er sich in einer neuen Welt befand.
"
"Amb la seguretat que era original, ho va publicar i és el que li va donar la fama a ella.
","Als er sich vergewissert hatte, dass es originell war, veröffentlichte er, was ihren Ruf begründete.
"
"El noi es va posar trist quan la va deixar aquell dia.
","Als er sie an dem Tag verließ, war der Junge traurig.
"
"Quan finalment els atrapa, el nomenen gestor de carreteres.
","Als er sie endlich einholt, ernennen sie ihn zum Road Manager.
"
"Quan ell la va deixar, hauria volgut fugir.
","Als er sie verließ, wollte er rennen.
"
"Quan tenia set anys els seus mestres van començar a veure el seu talent per la música.
","Als er sieben Jahre alt war, begann sein Ausbilder seine Begabung für die Musik zu bemerken.
"
"Quan José López tenia set anys, Gonzalo Campos va abusar d'ell.
","Als er sieben Jahre alt war, wurde Jose Lopez von Gonzalo Campos missbraucht.
"
"La seva llar des dels set anys fou un antic monestir cartoixà.
","Als er sieben Jahre alt war, wurde seine Heimat ein ehemaliges Karthäuserkloster.
"
"Quan tenia set anys, la seva família es va traslladar a Christchurch, Nova Zelanda.
","Als er sieben Jahre alt war, zog seine Familie nach Christchurch in Neuseeland.
"
"Quan tenia set anys, la seva família es va traslladar a Drammen.
","Als er sieben Jahre alt war, zog seine Familie nach Drammen.
"
"Mentre s’estava morint, Arthur dóna l’ordre a Bedivere de llençar Excalibur al llac.
","Als er starb, befahl Arthur Bedivere, Excalibur im See zu versenken.
"
"Quan va morir, els títols van passar al fill gran, el segon comte.
","Als er starb, gingen die Titel an seinen ältesten Sohn, den zweiten Earl, über.
"
"Quan va morir, Lamb va escriure a William Wordsworth: Aquí ens ha deixat el capità Burney!
","Als er starb, schrieb Lamb an William Wordsworth: „Da geht Captain Burney dahin!“
"
"Mentre moria, se'l va sentir proclamar «Alabat sigui el senyor de totes les nacions!»
","Als er starb, soll er gerufen haben: „Gepriesen sei der Herr aller Völker!“
"
"Toro té la mateixa edat que ell quan va morir.
","Als er starb, war Toro im gleichen Alter wie er.
"
"Quan ell i Odo investiguen, troben una bomba a bord de la barca.
","Als er und Odo nachforschen, finden sie eine Bombe am Nebenfluss.
"
"Quan ell i Quinn eren sols, hi havia silenci.
","Als er und Quinn allein waren, herrschte Stille.
"
"Quan va intentar aterrar sense xocar-hi, l’avió es va estavellar.
","Als er versuchte, zu landen, ohne sie zu treffen, stürzte das Flugzeug ab.
"
"Quan tenia quatre anys, la seva família el va vendre com a esclau.
","Als er vier Jahre alt war, wurde er von seiner Familie in die Leibeigenschaft verkauft.
"
"Assabentat de la proposta de llei, Georgie Russell es va desplaçar a Filadèlfia per anar a buscar Crockett.
","Als er vom Gesetzesentwurf hört, reitet Georgie Russell nach Philadelphia, um Crockett zu holen.
"
"Quan va tornar a parlar, va ser en un grunyit profund.
","Als er wieder sprach, war es ein tiefes Grummeln.
"
"Recuperant la compostura, Himmler va decidir que calia trobar nous mètodes per matar.
","Als er wieder zur Ruhe kam, beschloss Himmler, dass alternative Tötungsmethoden gefunden werden sollten.
"
"Quan tenia deu anys, la seva família es va traslladar a Ohio.
","Als er zehn Jahre alt war, zog seine Familie nach Ohio.
"
"Quan tenia deu anys, va mudar-se amb la seva família a Dover, New Hampshire.
","Als er zehn war, zog er mit seiner Familie nach Dover, New Hampshire.
"
"Va estirar i el tronc es va estavellar i es va trencar a l'esquena.
","Als er zog, stürzte der Baumstamm ab und brach ihm den Rücken.
"
"Quan va concloure, no hi va haver cap comentari.
","Als er zu dem Schluss kam, gab es keinen Kommentar.
"
"Quan va entrar per la porta de casa, la seva dona, Dorothea, planxava la roba.
","Als er zu Hause zur Tür hineinging, bügelte seine Frau Dorothea gerade Kleidung.
"
"Mirant cap a la seva cara, l’ull d’ell es troba amb el d’ella, i ell s’atura.
","Als er zu ihr hinabsah trafen sich ihre Augen, und er hielt an.
"
"Va ser nomenat capità quan va tornar a l'acció.
","Als er zum Einsatz zurückkehrte, wurde er zum Kapitän ernannt.
"
"En tornar al savi, va narrar amb detall tot el que havia vist.
","Als er zum Eremiten zurückkehrte, berichtete er im Detail über alles, was er gesehen hatte.
"
"Va tornar millor que mai, i aquests dies sobretot treballa amb trens de passatgers.
","Als er zurückkam, war er besser als je zuvor. Heute zieht er hauptsächlich Passagierzüge.
"
"Autor, editor i acadèmic prolífic, ha publicat nombrosos llibres i ha rebut premis.
","Als erfolgreicher Autor, Herausgeber und Gelehrter hat er zahlreiche Bücher veröffentlicht und Auszeichnungen erhalten.
"
"Un equip d’èxit que s’ha guanyat el sobrenom afectuosament de Tapioca United.
","Als erfolgreiches Team haben sie sich den liebevollen Spitznamen Tapioca United verdient.
"
"Com el concursant amb més èxit de Jeopardy!
","Als erfolgreichster Kandidat in Jeopardy!
"
"En conseqüència, Logitech ja no accepta més registres de comptes.
","Als Ergebnis akzeptiert Logitech keine neuen Account-Registrierungen.
"
"Com a resultat, es va crear un estil de reportatge d’investigació.
","Als Ergebnis daraus entwickelte sich ein neuer Stil für investigativen Journalismus.
"
"Com a resultat d'això, les funcions cardiovasculars i respiratòries es veurien greument carregades.
","Als Ergebnis davon gäbe es eine große Einschränkung von Herzkreislauf- und Atemfunktionen.
"
"La campanya va suposar la reelecció del govern liberal del primer ministre Joe Ghiz.
","Als Ergebnis der Kampagne wurde die liberale Regierung von Premierminister Joe Ghiz wiedergewählt.
"
"Com a resultat d”aquests innovacions, les tasques van ser més seccionals.
","Als Ergebnis dieser Innovationen wurden die Arbeiten weiter eingeteilt.
"
"Com a resultat, tampoc no hi havia uniformitat en les armes.
","Als Ergebnis fehlte Gleichförmigkeit bei den Waffen.
"
"Com a conseqüència, el director ordena fuetejar en Vince.
","Als Ergebnis ordnet der Aufseher an, Vince auszupeitschen.
"
"El resultat va ser que els directors van presentar un gran pla de millores bàsiques.
","Als Ergebnis riefen die Direktoren ein großes Programm von Bodenverbesserungen ins Leben.
"
"Com a resultat, va dir que se sentia més ràpid i fort.
","Als Ergebnis sagte er, dass er sich schneller und stärker fühle.
"
"Per això, totes dues tribus es van endinsar al marge amb cinc membres cadascuna.
","Als Ergebnis schlossen sich beide Stämme mit jeweils fünf Mitgliedern zusammen.
"
"Com a conseqüència de les seves investigacions alquímiques, va fer poca feina a l’església.
","Als Ergebnis seiner alchemistischen Forschungen hat er wenig Arbeit in der Kirche geleistet.
"
"Com a conseqüència, Joyce va renunciar al seu lloc de director.
","Als Ergebnis trat Joyce von seinem Posten als Direktor zurück.
"
"Com a resultat, dona lloc a la contaminació ambiental.
","Als Ergebnis verschlimmert sich die Umweltverschmutzung.
"
"En conseqüència, es considera que hi ha diversos idiomes i cultures indígenes russos en perill d’extinció actualment.
","Als Ergebnis werden einige von Russlands indigenen Sprachen heute als bedroht angesehen.
"
"Com a resultat, el programa es va orientar més cap al joc.
","Als Ergebnis wurde das Programm spielorientierter.
"
"Com a commemoració de la fundació de la Parròquia, es va comprar una campana per a l’església.
","Als Erinnerung an die Gemeindegründung erwarb man eine Kirchenglocke.
"
"En Roan duu la seva vareta per recordar-la.
","Als Erinnerung an sie trägt Roan ihren Zauberstab.
"
"Per ajudar les persones grans o amb discapacitat, moltes línies tenen autobusos amb el terra baix.
","Als Erleichterung für ältere und körperlich beeinträchtigte Fahrgäste werden auf vielen Strecken Niederflurbusse eingesetzt.
"
"Quan Ernestine tenia tres anys, la família es va traslladar a Verona.
","Als Ernestine drei Jahre alt war, zog die Familie nach Verona.
"
"Seriós i discret, es va guanyar la reputació d'orador influent.
","Als ernsthafte und diskrete Person verdiente er sich einen Ruf als einflussreicher Redner.
"
"Per substituir Chien, Holman selecciona Po-Han i l’entrena.
","Als Ersatz für Chien wählt Holman Po-Han aus und trainiert ihn.
"
"Els també van ser pioners al calendari perpetu, el cronògraf i el repetidor de minuts als rellotges.
","Als Erste haben sie den ewigen Kalender, den Chronographen und die Minutenrepetition in Uhren eingeführt.
"
"Pel primer ordre, es va utilitzar l'ordre jònic.
","Als erste Ordnung wurde die ionische Ordnung genutzt.
"
"Deci va ser el primer emperador romà que va morir en la batalla contra un enemic estranger.
","Als erste römische Kaiser fiel Decius im Kampf gegen einen ausländischen Feind.
"
"Com a primer Shark Island Challenge, va ser una competició molt informal.
","Als erste Shark Island Challenge war es ein sehr informeller Wettbewerb.
"
"El primer senzill fou ""Let It Roll"", amb la col·laboració de l'Alice Russell.
","Als erste Single erschien ""Let It Roll"" mit Alice Russell.
"
"És considerada la primera marca realment forta de cervesa a l'Índia.
","Als erste superstarke Biermarke in Indien gilt es.
"
"Va ser el primer quarterback titular afroamericà que va guanyar una Superbowl.
","Als erster Afroamerikaner, der als Quarterback anfing, gewann er einen Super Bowl.
"
"Sant Dubricius se sol donar com a primer bisbe.
","Als erster Bischof wird normalerweise der Heilige Dubricius genannt.
"
"La primera pel·lícula que es va mostrar va ser “Indiana Jones i l'última croada”.
","Als erster Film wurde „Indiana Jones und der letzte Kreuzzug“ gezeigt.
"
"Dunne va ser el primer home irlandès que va pertànyer de manera prominent a la lliga anglesa i va enregistrar punts.
","Als erster Ire war es Dunne, der in den Torrekorden der englischen Liga eine herausragende Rolle spielte.
"
"El primer i el més important és la relació que fa entre el capitalisme i el protestantisme.
","Als erster und wichtigster bezieht er den Kapitalismus auf den Protestantismus.
"
"James R. Soley va ser el primer a ser nomenat al càrrec recentment restablert.
","Als erster wurde James R. Soley in die neu geschaffene Position berufen.
"
"Primer has d’elevar l’x al quadrat i, a continuació, fer l’arrel cúbica.
","Als erstes brauchst du das Feld x, dann ziehe die Quadratwurzel.
"
"Llavors el primer és trobar-los.
","Als erstes müssen wir ihn dann finden.
"
"El primer que va veure és una gran carpa de lona.
","Als erstes sah man ein Zelt.
"
"Va ser el primer vaixell de la marina reial en portar el nom.
","Als erstes Schiff der Royal Navy trug sie diesen Namen.
"
"El primer és simplement promoure la pau, els valors europeus i el benestar dels ciutadans.
","Als erstes sollten wir den Frieden voranbringen und europäische Werte fördern und außerdem gewährleisten, dass es der Bevölkerung gut geht.
"
"En primer lloc, presentaré els facilitadors d'aquest campament científic.
","Als Erstes stelle ich die Moderatoren dieses Wissenschafts-Camps vor.
"
"La primera dona de Rosenberg va ser l’actriu Robin Bartlett.
","Als erstes war Rosenberg mit der Schauspielerin Robin Bartlett verheiratet.
"
"Primer de tot, l’extrem de càrrega es va col·locar uns quants graus en el sentit de les agulles del rellotge.
","Als Erstes wurde der Ladehebel ein paar Grad gegen den Uhrzeigersinn verschoben.
"
"Primer, la Lliga Spartacus va ser creada per la socialista radical Rosa Luxemburg.
","Als erstes wurde der Spartakusbund von der radikalen Sozialistin Rosa Luxemburg erschaffen.
"
"Va començar tallant pins de Weymouth i pins rojos americans per treure’n fusta.
","Als erstes wurden weiße und rote Kiefern gefällt.
"
"En la seva edat adulta, va tenir un programa d'entrevistes a la Veu d'Amèrica.
","Als Erwachsene hatte sie eine Interview-Sendung bei Voice of America.
"
"D'adult, va començar un negoci com a proveïdor naval amb el seu pare.
","Als Erwachsener begann er zusammen mit seinem Vater ein Geschäft als Schiffsausrüster.
"
"Ja com a adult, Jones recorda que des que té ús de raó vol ser una noia.
","Als Erwachsener erinnerte sich Jones daran, dass sie schon seit frühester Kindheit ein Mädchen sein wollte.
"
"D'adult, Bolle va viure a Weston, Connecticut, amb la seva dona, Lori.
","Als Erwachsener lebte Bolle in Weston, Connecticut, mit seiner Frau Lori.
"
"Guttormson va fer costat als partits liberals federals i provincials durant tota la seva vida adulta.
","Als Erwachsener unterstützte Guttormson die Liberalen Parteien auf Bundes- und Provinzebene.
"
"És una de les principals menes de bismut.
","Als Erz ist es wichtig für Wismut.
"
"Com a arquebisbe de Goa, Menezes es va centrar a enfortir el domini catòlic a Portugal.
","Als Erzbischof von Goa konzentrierte sich Menezes auf die Stärkung der katholischen Vorherrschaft in Portugal.
"
"Després de la mort de l'arquebisbe William Markham.
","Als Erzbischof William Markham starb.
"
"Però casualment era l'adequat.
","Als es aber geschah, war es das Richtige.
"
"Quan va arribar la neu, tots van sortir a muntar en trineu.
","Als es anfing zu schneien, gingen alle raus zum Schlittenfahren.
"
"Quan es va excavar, la seva tomba encara albergava quatre estàtues de Minnefer.
","Als es ausgegraben wurde, befanden sich in seinem Grab noch vier Minnefer-Statuen.
"
"Quan va començar a ser seriós, alguns simplement van aixecar els braços.
","Als es ernst wurde, warfen einige von ihnen einfach ihre Hände hoch.
"
"Quan es va adquirir per primer cop, va rebre el nom de ""City Park"".
","Als es erworben wurde, hieß es „City Park“.
"
"Quan es va construir, era l’edifici de formigó armat més alt del món.
","Als es gebaut wurde, war es das höchste Stahlbetongebäude der Welt.
"
"Quan va estar creat, va formar part dels Territoris del Nord-oest.
","Als es gegründet wurde, gehörte es zu den Nordwest-Territorien.
"
"Quan es va crear per primera vegada, el joc s'assemblava molt a l'obra original.
","Als es geschaffen wurde, glich das Spiel zunächst stark dem Originalwerk.
"
"Resulta que Bella Donna no estava morta, sinó simplement en coma.
","Als es geschah, war Bella Donna nicht wirklich tot, sondern lag lediglich im Koma.
"
"A mesura que s’anava ampliant, Conrad va començar a pensar de fer-ne una sèrie.
","Als es größer wurde, begann Conrad, an eine Veröffentlichung in Fortsetzungen zu denken.
"
"Quan de sobte va fracassar a Long Beach, Califòrnia, Cole va decidir quedar-s’hi.
","Als es in Long Beach, Kalifornien, plötzlich scheiterte, beschloss Cole, dort zu bleiben.
"
"Tanmateix, la baralla va patir un canvi en la sisena ronda, quan ca començar a ploure sobre el ring.
","Als es in Runde sechs in den Ring zu regnen begann, wendet sich das Blatt jedoch.
"
"No obstant això, quan va caure a l’Imperi Otomà, els baluards van rebre nom turcs.
","Als es jedoch an das Osmanische Reich fiel, erhielten die Bastionen türkische Namen.
"
"Això no obstant, quan va emergir el conflicte amb Gran Bretanya, va abraçar la causa patriòtica.
","Als es jedoch Konflikte gab mit Großbritannien, nahm er sich der Ursache der Patrioten an.
"
"Quan vaig estar millor vaig anar a veure el monstre.
","Als es mir besser ging, ging ich mir das Monster ansehen.
"
"Al matí, tenia una nova cançó, ""All Shook Up"".
","Als es Morgen wurde, hatte er einen neuen Song, „All Shook up“.
"
"Quan s'apropava a les Bahames, es va desplaçar més cap al nord-oest, paral·lelament a la costa de Florida.
","Als es sich den Bahamas näherte, bewegte es sich mehr nordwestwärts, parallel zur Küste Floridas.
"
"Quan se'l coneixia com Los Llanitos, formava part del municipi d'Arteaga.
","Als es unter Los Llanitos bekannt war, bildete es einen Teil der Gemeinde von Arteaga.
"
"Quan va arribar l'hora de l'espectacle, la Garnet estava atrapada a la sínia.
","Als es Zeit für die Show ist, steckt Garnet im Riesenrad fest.
"
"Quan era massa fosc per jugar al golf, era conegut per jugar bridge.
","Als es zu dunkel wurde, um Golf zu spielen, wusste man, dass er Bridge spielte.
"
"TubZ fou identificat a ""Bacillus"" ""thuringiensis"" com a essencial per al manteniment de plasmidis.
","Als essentiell für die Aufrechterhaltung des Plasmids wurde TubZ in „Bacillus“, „thuringiensis“ identifiziert.
"
"Com a guanyador de l'escenari, li van fer una prova de dopatge.
","Als Etappensieger machte er einen Dopingtest.
"
"Quan Etruria va ser conquerida per la República romana, el llatí es va convertir en la llengua oficial.
","Als Etrurien von der Römischen Republik erobert wurde, wurde Latein zur Amtssprache.
"
"Especialista en enginyeria militar, va prendre part en la Segona Guerra Balcànica.
","Als Experte für das Militäringenieurwesen nahm er am Zweiten Balkankrieg teil.
"
"Com a gag extra, en lloc de Fore! del grup
","Als Extra-Gag, anstelle des Forums der Band!
"
"Com a forma més extrema de deficiència d’electrons, es pot considerar l’enllaç metàl·lic.
","Als extremste Art der Elektronenmangelbildung kann die Metallbindung betrachtet werden.
"
"Conduint un Tyrrell-Ford per a l'Heros Racing, es va retirar després de desgastar els seus pneumàtics.
","Als Fahrer eines Tyrrell-Ford für Heros Racing zog er sich zurück, als alle seine Reifen verbraucht waren.
"
"Preneu dues accions com a benefici just.
","Als fairen Gewinn nehmen Sie zwei Anteile.
"
"La naturalesa auto-biogràfica del còmic Frantico s'ha confirmat que és falsa.
","Als falsch bestätigt wurde die autobiografische Natur des Frantico-Webcomics.
"
"Les pintures eren laques de piroxilina.
","Als Farben wurden Pyroxylin-Lacke verwendet.
"
"A mesura que va créixer el prestigi de Faulkner com a escriptor, el ressentiment de Stone va ser cada cop més evident.
","Als Faulkners Eminenz als Schriftsteller wuchs, verbitterte Stone zunehmend.
"
"Grace va filmar mentre Faye l'atacava.
","Als Faye ihn angriff, filmte Grace.
"
"Quan Fëanor va ser exiliat de Tirion, Finwë va anar amb ell a Formenos.
","Als Fëanor ins Exil von Tirion geschickt wurde, ging Finwë mit ihm nach Formenos.
"
"Quan els avions enemics van atacar Pearl Harbor, les reserves de la policia van respondre a l”atac.
","Als feindliche Flugzeuge Pearl Harbor angriffen, reagierte die Polizeireserve auf den Angriff.
"
"Com a enquesta de panell és una forma d'estudi longitudinal.
","Als Feldstudie ist es eine Form der Verlaufsstudie.
"
"Mentre s'estava a Bournemouth, England Fisher va conèixer una artista anomenada Rosemary Snook.
","Als Fisher im englischen Bournemouth stationiert war, traf er die Künstlerin Rosemary Snook.
"
"«Fluxion» és el terme que Isaac Newton va introduir per al càlcul diferencial.
","Als „Fluxion“ wurde dieser Begriff von Isaac Newton in die Differentialrechnung eingeführt.
"
"Federalista, Duer va escriure en suport de la ratificació de la Constitució dels Estats Units com Philo-Publius.
","Als Föderalist schrieb Duer zur Unterstützung der Ratifizierung der Verfassung der Vereinigten Staaten als Philo-Publius.
"
"Com a resultat, la universitat va tancar.
","Als Folge daraus knickte das College ein.
"
"Com a resultat, es van començar a acumular molts ossos en aquestes zones.
","Als Folge davon begannen sich in diesen Gebieten viele Knochen anzuhäufen.
"
"El resultat els hi permet viure, però mai sortir del poble.
","Als Folge davon bleiben sie am Leben, dürfen das Dorf jedoch nie wieder verlassen.
"
"Com a resultat, va sorgir la indústria d’acords vitals.
","Als Folge davon entstand die Industrie für Lebensversicherungen.
"
"La conseqüència és que l’aigua desemboca directament als rius.
","Als Folge davon fließt das Wasser direkt in die Flüsse.
"
"Com a resultat, Cao Shuang va assolir el poder.
","Als Folge davon stieg Cao Shuang an die Macht.
"
"Com a resultat, la figura d’un '""anma cec"" s'ha popularitzat en la cultura japonesa.
","Als Folge davon wurde die „blinde Anma“ ein beliebtes Klischee in der japanischen Kultur.
"
"Com a resultat de la immigració, els Països Baixos tenen una minoria considerable de pobles no indígenes.
","Als Folge der Einwanderung gibt es in den Niederlanden eine beträchtliche Minderheit nicht einheimischer Bevölkerungen.
"
"Com a conseqüència de la necessitat d”ajudar-lo.
","Als Folge der Notwendigkeit, ihn zu empfangen.
"
"Com a resultat d'aquesta fusió, el districte de Shiga es va dissoldre.
","Als Folge der Zusammenlegung wurde der Bezirk Shiga aufgelöst.
"
"Tenint en compte la sentència, espero que es pronunciï en breu.
","Als Folge des Urteils erwarte ich, dass es in Kürze gefällt wird.
"
"L'afecció pot donar lloc a abús, inclosos l’ús de la força o el segrest.
","Als Folge dieses Zustandes können Misshandlungen auftreten, die auch mit Gewaltanwendung oder Entführung einhergehen können.
"
"A pesar d’això, va haver de tornar a Jena al cap d’un any a causa d’una malaltia.
","Als Folge einer Krankheit kehrte er jedoch nach einem Jahr wieder nach Jena zurück.
"
"Com a resultat de tanta passivitat, es creu que s'estan fabricant centres de donants superficials.
","Als Folge einer solchen Passivierung entstehen vermutlich flache Zentren aus Elektronendonatoren.
"
"En conseqüència, s'utilitzen indistintament diversos mots francesos i anglesos.
","Als Folge hiervon werden einige französische und englische Wörter synonym verwendet.
"
"A conseqüència de la seva separació, la família de Koenigswarter, els Rothschild, el van desheretar.
","Als Folge ihrer Trennung enterbte ihre Familie, die Rothschilds, Koenigswarter.
"
"Com a resultat, les dues escultures van ser traslladades a Stadium Walk.
","Als Folge sind die zwei Skulpturen dann auf den Stadium Walk verlegt worden.
"
"Al seu pas, Steiner va sobreviure un intent de retirada abordat.
","Als Folge überlebte Steiner eine abgebrochene Rückrufaktion.
"
"Quan Fox es va ficar en el beisbol, va fer servir el lema «El mateix joc, però amb una actitud nova».
","Als Fox zum ersten Mal in den Baseball einstieg, benutzte er das Motto ‚Gleiches Spiel, neue Einstellung‘.
"
"La família es va traslladar a Buffalo (Nova York) quan en Franklin tenia dos anys.
","Als Franklin zwei Jahre alt war zog die Familie nach Buffalo in New York, USA, um.
"
"Com a ministre de marina francès, Camille Pelletan serà molt criticat.
","Als französischer Minister für die Marine wird Camille Pelletan heftig kritisiert.
"
"Al ser dona, els seus nivells de poder s’assemblen més a Supergirl i Wonder Woman.
","Als Frau ähneln ihre Kräfte eher Supergirl und Wonder Woman.
"
"Com a dona de classe treballadora, Anning era una estranya a la comunitat científica.
","Als Frau aus der Arbeiterklasse war Anning in der Wissenschaftsgemeinde eine Außenseiterin.
"
"Com a escriptor autònom, Brehm va aportar assajos i diaris de viatge a revistes de divulgació científica.
","Als freiberuflicher Schriftsteller, versorgte Brehm populärwissenschaftlich Magazine mit Aufsätzen und Reiseberichten.
"
"Per a ser un codificador de manis lliures eficaç, has d'aprendre a moure el cursor amb rapidesa per un arxiu.
","Als freisprechender Programmierer muss man lernen, wie man den Cursor in einer Datei schnell verschieben kann.
"
